locator_id,target_source_id,query_focus,result_type,candidate_title,candidate_url,candidate_role,verification_status,notes
LOC001,RDNA_2025_02,RDNA official report,secondary_match,Reuters report on joint World Bank UN EU assessment,https://www.reuters.com/world/middle-east/more-than-50-billion-needed-rebuild-gaza-world-bank-joint-assessment-says-2025-02-18/,secondary_context,located_secondary_only,Confirms title family and reconstruction cost figures but does not bind official report pages.
LOC002,GJWASH_2025_08,August 2025 joint WASH assessment,no_exact_match,,,,not_located,Exact title not located through public search; keep C001 blocked.
LOC003,ALMAWASI7_EA32,Al Mawasi 7 enumeration factsheet,no_exact_match,,,,not_located,Exact enumeration-area factsheet not located through public search; keep C002 blocked.
LOC004,ASSAWARAH_EA8,As Sawarah enumeration factsheet,no_exact_match,,,,not_located,Exact enumeration-area factsheet not located through public search; keep C003 blocked.
LOC005,LTM_2025_04_R3,WASH light-touch monitoring round 3,no_exact_match,,,,not_located,Exact round 3 report not located through public search; keep C004 blocked.
LOC006,LTM_2025_06_R4,WASH light-touch monitoring round 4,no_exact_match,,,,not_located,Exact round 4 report not located through public search; keep C005 blocked.
LOC007,HEALTH_WATER_GAZA,health mechanism replacement candidate,official_context,OCHA Humanitarian Situation Report 15 May 2026,https://www.ochaopt.org/content/humanitarian-situation-report-15-may-2026,current_context_candidate,located_official,Official OCHA page includes Gaza WASH system and public-health risk language; candidate for contextual replacement not household validation.
LOC008,HEALTH_WATER_GAZA,UNICEF water-system collapse,secondary_context,Reuters report on UNICEF water-system collapse,https://www.reuters.com/world/middle-east/gaza-faces-man-made-drought-water-systems-collapse-unicef-says-2025-06-20/,secondary_context_candidate,located_secondary,Secondary reporting of UNICEF statement; use only if official UNICEF record remains unavailable.
LOC009,SHELTER_WASH_FSS_IDP_2025_07,Shelter WASH FSS IDP assessment,no_exact_match,,,,scope_unresolved,Exact report not located; keep excluded until Gaza-specific geography is verified.
LOC010,LTM_2025_04_R3,alternate current WASH trend source,official_context,OCHA Humanitarian Situation Report 17 April 2026,https://www.ochaopt.org/content/humanitarian-situation-report-17-april-2026,official_current_context,located_official,Alternate official OCHA situation report candidate for time-stamped WASH context; not a replacement for Round 3 monitoring.
LOC011,LTM_2025_06_R4,alternate current WASH trend source,official_context,OCHA Humanitarian Situation Report 15 May 2026,https://www.ochaopt.org/content/humanitarian-situation-report-15-may-2026,official_current_context,located_official,Official OCHA report includes WASH generator oil shortage sewage pumping station failures and public-health risk language; not a replacement for Round 4 monitoring.
LOC012,GJWASH_2025_08,alternate household-access context source,official_context,WASH Cluster Palestine coordination page,https://response.reliefweb.int/palestine/water-sanitation-and-hygiene,official_cluster_context,located_official,Official WASH Cluster coordination page located; page is a context hub and does not provide household assessment results.
LOC013,RDNA_2025_02,alternate infrastructure-damage context source,official_context,OCHA Humanitarian Situation Report 15 May 2026,https://www.ochaopt.org/content/humanitarian-situation-report-15-may-2026,official_current_context,located_official,OCHA report supports current infrastructure-disruption context but does not replace official RDNA damage tables.
LOC014,HEALTH_WATER_GAZA,alternate secondary current water-access source,secondary_context,AP report on Gaza water-truck dependence and destroyed infrastructure,https://apnews.com/article/7704841f42a05d04aae3e24b9c886582,secondary_current_context,located_secondary,Secondary journalism candidate for water-access narrative only; not a validator for quantified household findings.
