source_id,title,geography,reporting_period,source_organization,path_or_url,original_or_derived,validation_status,validator_role,manuscript_role,use_limitation
GJWASH_2025_08,Gaza Joint WASH Assessment Report,Gaza Strip,2025-08,WASH Cluster or joint humanitarian assessment,assessments/source_documents/2025-08_gaza_joint_wash_assessment_report.pdf,original,primary_verified_pending_file,core_household_validator,household WASH access and service-condition evidence,Use for assessed household WASH conditions; do not overextend beyond sampling frame.
ALMAWASI7_EA32,Enum Area 32 — Al Mawasi 7,Gaza Strip local enumeration area,2025,humanitarian enumeration-area factsheet,assessments/source_documents/enum_area_32_al_mawasi_7.pdf,original,primary_verified_pending_file,local_hotspot_validator,localized hotspot illustration,Use only as local evidence; do not generalize Gaza-wide.
ASSAWARAH_EA8,Enum Area 8 — As Sawarah,Gaza Strip local enumeration area,2025,humanitarian enumeration-area factsheet,assessments/source_documents/enum_area_8_as_sawarah.pdf,original,primary_verified_pending_file,local_hotspot_validator,localized hotspot illustration,Use only as local evidence; do not generalize Gaza-wide.
LTM_2025_04_R3,WASH Light-Touch Monitoring Round 3,Gaza Strip assessed sites or respondents,2025-04,WASH Cluster or humanitarian monitoring body,assessments/source_documents/2025-04_wash_light_touch_monitoring_round_3.pdf,original,trend_verified_pending_file,indicative_trend_validator,time-stamped trend context,Use as indicative trend evidence only; specify assessed households or key informants.
LTM_2025_06_R4,WASH Light-Touch Monitoring Round 4,Gaza Strip assessed sites or respondents,2025-06,WASH Cluster or humanitarian monitoring body,assessments/source_documents/2025-06_wash_light_touch_monitoring_round_4.pdf,original,trend_verified_pending_file,indicative_trend_validator,time-stamped trend context,Use as indicative trend evidence only; specify assessed households or key informants.
RDNA_2025_02,Gaza IRDNA / RDNA Final,Gaza Strip,2025-02,World Bank United Nations European Union or partner assessment,assessments/source_documents/2025-02_gaza_irdna_rdna_final.pdf,original,context_verified_pending_file,infrastructure_recovery_validator,infrastructure damage service disruption and recovery context,Do not use as a household liters-per-person-per-day survey.
HEALTH_WATER_GAZA,Turkman et al 2025 Gaza water quality case study,Khan Younis and Middle Area Governorates Gaza Strip,2024-05 to 2024-06,Journal of Global Public Health One Health / Al-Quds University,https://doi.org/10.61034/JGPOH-2025-13,secondary,background_only,background_mechanism_validator,localized water-quality and public-health mechanism evidence,Use for Khan Younis and Middle Area water-quality findings and mechanism only; do not generalize as Gaza-wide prevalence.
FAYAD_PLOS_WATER_2025,Fayad Barrington Zaqout 2025 political economy scoping review,Gaza Strip,2004 to 2024 review frame,PLOS Water,https://doi.org/10.1371/journal.pwat.0000418,secondary,context_verified,political_economy_context_validator,political-economy and governance context for WASH delivery,Use for sector-level political economy context only; do not treat as current household WASH measurement.
OCHA_SITREP_2026_04_17,OCHA Humanitarian Situation Report 17 April 2026,Gaza Strip,2026-04-17,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-17-april-2026,secondary,trend_verified,indicative_trend_validator,time-stamped official WASH context,Use only for time-stamped official situation context; do not treat as household assessment or LTM Round 3 replacement.
OCHA_SITREP_2026_05_15,OCHA Humanitarian Situation Report 15 May 2026,Gaza Strip,2026-05-15,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-15-may-2026,secondary,trend_verified,indicative_trend_validator,time-stamped official WASH and infrastructure context,Use only for time-stamped official situation context; do not treat as household assessment LTM Round 4 or RDNA replacement.
WASH_CLUSTER_PALESTINE_2026,WASH Cluster Palestine coordination page,State of Palestine,2026,WASH Cluster Palestine,https://response.reliefweb.int/palestine/water-sanitation-and-hygiene,secondary,context_verified,background_mechanism_validator,coordination hub and source-discovery context,Use as coordination hub context only; do not cite for quantified findings unless linked report is separately bound.
JMP_WASH_HH_2025_COUNTRY,JMP household WASH 2025 country workbook,occupied Palestinian territory country-level series,2000 to 2024,WHO UNICEF Joint Monitoring Programme,assessments/source_documents/JMP_WASH_HH_2025_by_country.xlsx,secondary,background_only,background_mechanism_validator,country-level WASH baseline context,Use for country-level occupied Palestinian territory baseline context only; not Gaza-specific and not crisis-field validation.
SHELTER_WASH_FSS_IDP_2025_07,Shelter-WASH-FSS IDP Assessment Results,West Bank or mixed geography requiring confirmation,2025-07,humanitarian assessment,assessments/source_documents/2025-07_shelter_wash_fss_idp_assessment_results.pdf,original,restricted_pending_geography,excluded_or_restricted,excluded unless Gaza-specific section confirmed,Do not use for Gaza claims unless Gaza-specific content is verified.
